date,vim_avg
2017-03-11,34.5182
2017-03-21,36.4013
2017-04-01,38.4721
2017-04-11,40.5307
2017-04-21,42.5978
2017-05-01,45.3171
2017-05-11,47.2587
2017-05-21,49.1126
2017-06-01,50.7229
2017-06-11,51.9983
2017-06-21,53.0247
2017-07-01,53.8446
2017-07-11,54.4081
2017-07-21,54.8092
2017-08-01,55.0889
2017-08-11,55.2875
2017-08-21,55.4393
2017-09-01,55.5117
2017-09-11,55.4647
2017-09-21,55.2393
2017-10-01,54.7481
2017-10-11,53.8888
2017-10-21,52.4917
2017-11-01,50.5687
2017-11-11,48.2879
2017-11-21,45.6838
2017-12-01,42.8846
2017-12-11,40.0528
2017-12-21,37.2871
2018-01-01,34.6449
2018-01-11,32.778
2018-01-21,31.8069
2018-02-01,31.4587
2018-02-11,31.7238
2018-02-21,32.421
2018-03-01,33.5133
2018-03-11,35.0546
2018-03-21,36.9679
2018-04-01,39.0731
2018-04-11,41.1657
2018-04-21,43.2655
2018-05-01,45.3171
2018-05-11,47.2587
2018-05-21,49.1126
2018-06-01,50.7229
2018-06-11,51.9983
2018-06-21,53.0247
2018-07-01,53.8446
2018-07-11,54.4081
2018-07-21,54.8092
2018-08-01,55.0889
2018-08-11,55.2875
2018-08-21,55.4393
2018-09-01,55.5117
2018-09-11,55.4647
2018-09-21,55.2393
2018-10-01,54.7481
2018-10-11,53.8888
2018-10-21,52.4917
2018-11-01,50.5687
2018-11-11,48.2879
2018-11-21,45.6838
2018-12-01,42.8846
2018-12-11,40.0528
2018-12-21,37.2871
2019-01-01,34.6449
2019-01-11,32.778
2019-01-21,31.8069
2019-02-01,31.4587
2019-02-11,31.7238
2019-02-21,32.421
2019-03-01,33.5133
2019-03-11,35.0546
2019-03-21,36.9679
2019-04-01,39.0731
2019-04-11,41.1657
2019-04-21,43.2655
2019-05-01,45.3171
2019-05-11,47.2587
2019-05-21,49.1126
2019-06-01,50.7229
2019-06-11,51.9983
2019-06-21,53.0247
2019-07-01,53.8446
2019-07-11,54.4081
2019-07-21,54.8092
2019-08-01,55.0889
2019-08-11,55.2875
2019-08-21,55.4393
2019-09-01,55.5117
2019-09-11,55.4647
2019-09-21,55.2393
2019-10-01,54.7481
2019-10-11,53.8888
2019-10-21,52.4917
2019-11-01,50.5687
2019-11-11,48.2879
2019-11-21,45.6838
2019-12-01,42.8846
2019-12-11,40.0528
2019-12-21,37.2871
2020-01-01,34.6449
2020-01-11,32.778
2020-01-21,31.8069
2020-02-01,31.4587
2020-02-11,31.7238
2020-02-21,32.421
2020-03-01,33.5133
2020-03-11,35.0546
2020-03-21,36.9679
2020-04-01,39.0731
2020-04-11,41.1657
2020-04-21,43.2655
2020-05-01,45.3171
2020-05-11,47.2587
2020-05-21,49.1126
2020-06-01,50.7229
2020-06-11,51.9983
2020-06-21,53.0247
2020-07-01,53.8446
2020-07-11,54.4081
2020-07-21,54.8092
2020-08-01,55.0889
2020-08-11,55.2875
2020-08-21,55.4393
2020-09-01,55.5117
2020-09-11,55.4647
2020-09-21,55.2393
2020-10-01,54.7481
2020-10-11,53.8888
2020-10-21,52.4917
2020-11-01,50.5687
2020-11-11,48.2879
2020-11-21,45.6838
2020-12-01,42.8846
2020-12-11,40.0528
2020-12-21,37.2871
2021-01-01,34.6449
2021-01-11,32.778
2021-01-21,31.8069
2021-02-01,31.4587
2021-02-11,31.7238
2021-02-21,32.421
2021-03-01,33.5133
2021-03-11,35.0546
2021-03-21,36.9679
2021-04-01,39.0731
2021-04-11,41.1657
2021-04-21,43.2655
2021-05-01,45.3171
2021-05-11,47.2587
2021-05-21,49.1126
2021-06-01,50.7229
2021-06-11,51.9983
2021-06-21,53.0247
2021-07-01,53.8446
2021-07-11,54.4081
2021-07-21,54.8092
2021-08-01,55.0889
2021-08-11,55.2875
2021-08-21,55.4393
2021-09-01,55.5117
2021-09-11,55.4647
2021-09-21,55.2393
2021-10-01,54.7481
2021-10-11,53.8888
2021-10-21,52.4917
2021-11-01,50.5687
2021-11-11,48.2879
2021-11-21,45.6838
2021-12-01,42.8846
2021-12-11,40.0528
2021-12-21,37.2871
2022-01-01,34.6449
2022-01-11,32.778
2022-01-21,31.8069
2022-02-01,31.4587
2022-02-11,31.7238
2022-02-21,32.421
2022-03-01,33.5133
2022-03-11,35.0546
2022-03-21,36.9679
2022-04-01,39.0731
2022-04-11,41.1657
2022-04-21,43.2655
2022-05-01,45.3171
2022-05-11,47.2587
2022-05-21,49.1126
2022-06-01,50.7229
2022-06-11,51.9983
2022-06-21,53.0247
2022-07-01,53.8446
2022-07-11,54.4081
2022-07-21,54.8092
2022-08-01,55.0889
2022-08-11,55.2875
2022-08-21,55.4393
2022-09-01,55.5117
2022-09-11,55.4647
2022-09-21,55.2393
2022-10-01,54.7481
2022-10-11,53.8888
2022-10-21,52.4917
2022-11-01,50.5687
2022-11-11,48.2879
2022-11-21,45.6838
2022-12-01,42.8846
2022-12-11,40.0528
2022-12-21,37.2871
2023-01-01,34.6449
2023-01-11,32.778
2023-01-21,31.8069
2023-02-01,31.4587
2023-02-11,31.7238
2023-02-21,32.421
2023-03-01,33.5133
2023-03-11,35.0546
2023-03-21,36.9679
2023-04-01,39.0731
2023-04-11,41.1657
2023-04-21,43.2655
2023-05-01,45.3171
2023-05-11,47.2587
2023-05-21,49.1126
2023-06-01,50.7229
2023-06-11,51.9983
2023-06-21,53.0247
